"Captions","Sentiment","Timestamp","User names","Language","Hashtags","Resharess","Likes","Country","Year","Month","Day","Hour","Fatigue","Concentration","Sleep disturbance","Sucidal Ideation","Low energy","Hopelessness","Depression state"
"यूँ जमीन पर बैठकर क्यूँ आसमान देखता है, पंखो को खोल जमाना सिर्फ उड़ान देखता है","Positive","12/5/2023 14:30","aryan_kushwaha","2","#flyhigh #fly #humanfly #wings #insta #picarts","22","400","India","2023","12","5","14","1","1","1","1","1","2","Minimal Depression"
"में तो किसी की होके, ये भी न जानी रुत है ये दो पल की या रहेगी सदा।","Neutral","12/10/2023 10:00","akshita.akki10","2","#instagood #rishikesh #riishikeshdiaries","18","350","India","2023","12","10","10","1","1","1","1","1","1","No Depression"
"दिल चाहता है: कभी ना बीतें चमकीले दिन","Positive","12/15/2023 15:30","musk.ann","2","#murat #picsart #inshot #portraits","28","550","India","2023","12","15","15","1","1","1","1","1","2","Minimal Depression"
"अगर मगर और काश में हूँ मैं खुद अपनी तलाश में हूँ ।।","Neutral","12/20/2023 17:00","negi_tulika","2","#road #greenery #nature #naturelovers #longdrive","15","320","India","2023","12","20","17","1","1","1","1","1","1","No Depression"
"हँसकर जीना दस्तूर हैं जिंदगी का, एक यही किस्सा मशहूर हैं ज़िंदगी का...","Positive","1/1/2024 9:00","piyu.___","2","#instafashion #instadaily #instagram #fashionblogger","25","480","India","2024","1","1","9","1","1","1","1","1","2","Minimal Depression"
"तुमको देखा तो ये ख़याल आया ज़िंदगी धूप तुम घना साया","Neutral","1/5/2024 11:30","simraan_jha","2","#tuesdayvibes #picturelove #pictureperfect","20","380","India","2024","1","5","11","1","1","1","1","1","1","No Depression"
"आसमा के परे एक जहां है कहीं झूठ सच का वाहा काएदा ही नही","Neutral","1/10/2024 13:00","sayyedzada","2","#hindicaptions #hindiquotes #kurtapajama","15","300","India","2024","1","10","13","1","1","1","1","1","1","No Depression"
"न में गिरा ना मेरी उम्मीदों के मीनार गिरे पर कुछ लोग मुझे गिराने में कई बार गिरे।","Negative","1/15/2024 15:30","imgurshah","2","#old #pic #instagram #instadaily","12","250","India","2024","1","15","15","2","2","4","5","4","2","Severel Depression"
"शोर सी है ज़िंदगी मेरी सुकून सा है इश्क तेरा","Neutral","1/20/2024 17:00","kanchankhatana","2","#kanchankhatana #photoshoot #photography","18","350","India","2024","1","20","17","1","1","1","1","1","1","No Depression"
"मिलता कुछ तो बात है इन हवाओं में, वरना साथ इन्हें पंछियों का ना","Neutral","1/25/2024 18:00","piyu.___","2","#writing #trending","15","320","India","2024","1","25","18","1","1","1","1","1","1","No Depression"
"प्रेम के बस में सब है, सब के बस में प्रेम नहीं।","Positive","2/1/2024 10:30","themonimakeover","2","#themenigoyal #hindicaptions #fashionblogger","25","480","India","2024","2","1","10","1","1","1","1","1","2","Minimal Depression"
"जब मिले थोड़ी फुरसत, खुद से कर ले मोहब्बत है तुझे भी इजाज़त, कर ले तू भी मोहब्बत ॥❤❤","Positive","2/5/2024 12:00","expresswith_shalini","2","#selflove #positivity #positivevibes #goodvibes","30","600","India","2024","2","5","12","1","1","1","1","1","2","Minimal Depression"
"दुआ करो में कोई रास्ता निकाल सकूँ,, तुम्हे भी देख सकूँ, खुद को भी सम्भाल सकूँ।","Neutral","2/10/2024 14:30","simranmatoliya","2","#hindishayaris #hindicaption #hindicaptions","18","360","India","2024","2","10","14","1","1","1","1","1","1","No Depression"
"हम दोनों ही धोखा खा गए मैंने तुम्हें औरों से अलग समझा और तुमने मुझे औरों जैसा","Negative","2/15/2024 16:45","glitterofchampagne","2","#esthetic #estheticeditsky","15","320","India","2024","2","15","16","2","5","5","5","5","2","Severel Depression"
"कल पे सवाल हैं, जिना फिलहाल हैं...","Neutral","2/20/2024 18:00","piyu.___","2","#travelblogger #blogger #fashinista","18","350","India","2024","2","20","18","1","1","1","1","1","1","No Depression"
"ଜୀବନ ଏକ ଆନନ୍ଦ ଯାତ୍ରା, ସେହିପାଇଁ ମନ ଖୋଲା ରଖ।","Positive","4/1/2023 8:00","amit_123","3","#joy #life #happiness","20","300","India","2023","4","1","8","1","1","1","1","1","1","Minimal Depression"
"ସମୟ ପ୍ରବନ୍ଧନ ଆମ ଜୀବନର ଏକ ଅନ୍ୟତମ ଅଂଶ।","Neutral","4/1/2021 9:00","preeti_kumar","3","#time #management #life","15","250","India","2021","4","1","9","1","1","1","1","1","1","No Depression"
"ସ୍ନେହ ଓ ମିଳନରେ ଆମେ ଆନନ୍ଦ ପାଇଛୁ।","Positive","4/1/2022 10:00","rajesh_s","3","#love #joy #meeting","30","350","India","2022","4","1","10","1","1","1","1","1","2","Minimal Depression"
"ଆମର ଚେଷ୍ଟା ଓ ଲକ୍ଷ୍ୟ ସଦା ଉଚ୍ଚ ରହିବା ଚାହିଁଦି।","Neutral","4/1/2020 11:00","neha_m","3","#efforts #goals #ambition","18","270","India","2020","4","1","11","1","1","1","1","1","1","No Depression"
"ଆପଣଙ୍କ ଶ୍ରେଷ୍ଠତା ପାଇଁ ଧନ୍ୟବାଦ।","Positive","4/1/2025 12:00","rahul_g","3","#grateful #appreciation #thankful","25","320","India","2025","4","1","12","1","1","1","1","1","2","Minimal Depression"
"ଯେତେବେଳେ ଆମେ ଆଶାର ଆଲୋକ ମଧ୍ୟରେ ଆଗକୁ ବଢିଥାଉ।","Positive","4/1/2019 13:00","sonali_s","3","#hope #light #future","28","330","India","2019","4","1","13","1","1","1","1","1","2","Minimal Depression"
"ଅସୁବିଧା ଅଧିକ କରାଯାଉଛି, ସମସ୍ୟା ସମାଧାନ ଖୋଜାଯିବ।","Negative","4/1/2018 14:00","vijay_r","3","#trouble #solution #struggle","10","180","India","2018","4","1","14","2","2","2","2","2","3","Severel Depression"
"ସମସ୍ତ ସମୟରେ ସହଯୋଗ ଏବଂ ସମର୍ଥନ ଆବଶ୍ୟକ।","Neutral","4/1/2024 15:00","anjali_k","3","#support #collaboration #help","18","280","India","2024","4","1","15","1","1","1","1","1","1","No Depression"
"ନିଜ ପ୍ରୟାସରେ ଆମେ ତାଙ୍କୁ ସମ୍ମାନ ଦେବାର ଚେଷ୍ଟା କରୁଛୁ।","Positive","4/1/2022 16:00","amit_kumar","3","#respect #efforts #honor","22","310","India","2022","4","1","16","1","1","1","1","1","2","Minimal Depression"
"ଆମେ ଯେତେବେଳେ ତୁମର ସହଯୋଗ ପାଇଁ ଆଶା କରୁଛୁ।","Positive","4/1/2023 17:00","divya_s","3","#hope #support #teamwork","25","320","India","2023","4","1","17","1","1","1","1","1","2","Minimal Depression"
"କେତେକ ସମୟରେ ଆମେ ଅସୁବିଧାର ସମ୍ମୁଖୀନ ହୁଁ।","Negative","4/1/2021 18:00","rajiv_78","3","#difficulty #struggle #pain","12","190","India","2021","4","1","18","2","2","2","2","2","3","Severel Depression"
"ସାଧାରଣ ଚିନ୍ତା ଓ ଆଲୋଚନା ଆମେ କରୁଛୁ।","Neutral","4/1/2017 19:00","nisha_m","3","#thoughts #discussion #normal","16","260","India","2017","4","1","19","1","1","1","1","1","1","No Depression"
"ତୁମେ ଆମ ଲାଗି ସବୁକିଛି ହେବାର ଆଶା।","Positive","4/2/2020 8:00","sanjay_s","3","#hope #everything #best","28","340","India","2020","4","2","8","1","1","1","1","1","2","Minimal Depression"
"ସେହିପରି ଜୀବନ ଦିନ ପରେ ଦିନ ଚାଲୁଛି।","Neutral","4/2/2022 9:00","priyanka_r","3","#life #days #routine","20","270","India","2022","4","2","9","1","1","1","1","1","1","No Depression"
"ଏହି ଆଶା ଆମ ଜୀବନର ପଥ ପ୍ରଦର୍ଶନ କରେ।","Positive","4/2/2021 10:00","arun_1","3","#hope #guidance #life","30","350","India","2021","4","2","10","1","1","1","1","1","2","Minimal Depression"
"ଯଦି ଆପଣଙ୍କ ଶକ୍ତି ଓ ଆଶା ଅଛି, ତେବେ ଆପଣ ସମସ୍ୟାକୁ ମୁକାବିଲା କରିପାରିବେ।","Positive","4/2/2023 11:00","rakesh_j","3","#strength #hope #overcome","32","360","India","2023","4","2","11","1","1","1","1","1","2","Minimal Depression"
"ସମସ୍ତ ଚିନ୍ତା ଓ ଦୁଃଖର ସମାଧାନ ଆପଣ ନେବେ।","Neutral","4/2/2019 12:00","ankur_r","3","#solution #problems #relief","18","280","India","2019","4","2","12","1","1","1","1","1","1","No Depression"
"ଆପଣଙ୍କ ଦ୍ବାରା ପ୍ରଦାନ କରାଯାଇଥିବା ସମର୍ଥନ ଓ ସାହାୟ୍ୟ ଅମୂଲ୍ୟ।","Positive","4/2/2024 13:00","vivek_s","3","#support #help #appreciation","26","330","India","2024","4","2","13","1","1","1","1","1","2","Minimal Depression"
"ଆମେ ସାଧାରଣ ଜୀବନରେ ଶାନ୍ତି ପାଇବା ପାଇଁ କରୁଛୁ।","Neutral","4/2/2018 14:00","rajesh_k","3","#peace #life #routine","14","240","India","2018","4","2","14","1","1","1","1","1","1","No Depression"
"ତୁମେ ଯଦି ସହଯୋଗ କରିବେ, ତେବେ ଆମେ ସମସ୍ୟା ଦୂର କରିପାରିବା।","Positive","4/2/2022 15:00","sangeeta_s","3","#cooperation #solution #help","28","340","India","2022","4","2","15","1","1","1","1","1","2","Minimal Depression"
"କେତେବେଳେ ଆମେ ନିଜ ପ୍ରୟାସରେ ସଫଳତା ଉପାଲବ୍ଧ କରିବାର ଚେଷ୍ଟା କରୁଛୁ।","Positive","4/2/2021 16:00","nisha_k","3","#success #efforts #achievements","30","350","India","2021","4","2","16","1","1","1","1","1","2","Minimal Depression"
"ଆମ ଜୀବନ ଆମର ସ୍ବପ୍ନଗୁଡିକୁ ସକାର କରିବାର ସମୟ।","Positive","4/2/2023 17:00","jaya_s","3","#dreams #life #time","25","310","India","2023","4","2","17","1","1","1","1","1","2","Minimal Depression"
"ଆପଣଙ୍କ ପାଇଁ ଆମର ସହଯୋଗ ସଦା ଉପଲବ୍ଧ।","Positive","4/2/2020 18:00","rahul_k","3","#support #help #available","22","300","India","2020","4","2","18","1","1","1","1","1","2","Minimal Depression"
"ଅନୁଭୂତି ଓ ଶାନ୍ତି ସୃଷ୍ଟି କରିବାର ଆଶା ରହିଛି।","Positive","4/2/2024 19:00","tanvi_r","3","#feelings #peace #hope","20","290","India","2024","4","2","19","1","1","1","1","1","2","Minimal Depression"
"କେତେବେଳେ ଆମେ ସମସ୍ୟା ସମାଧାନ ମାଗୁଛୁ।","Neutral","4/3/2022 8:00","rohit_s","3","#problems #solutions #help","18","270","India","2022","4","3","8","1","1","1","1","1","1","No Depression"
"ଆମେ ଶିକ୍ଷା ଓ ସମର୍ଥନ ଦେବା ପାଇଁ ପ୍ରସ୍ତୁତ।","Positive","4/3/2021 9:00","raj_r","3","#education #support #ready","22","310","India","2021","4","3","9","1","1","1","1","1","2","Minimal Depression"
"ଆମର ଯୋଗଦାନ ଓ ଶ୍ରେଷ୍ଠତା ସଦା ଲୋକଙ୍କୁ ଉତ୍ସାହିତ କରେ।","Positive","4/3/2023 10:00","prashant_k","3","#contribution #inspiration","30","340","India","2023","4","3","10","1","1","1","1","1","2","Minimal Depression"
"କେତେକ ଦିନରେ ଆମେ ଆଶା ଓ ସହଯୋଗ ମଧ୍ୟରେ ରହୁ।","Neutral","4/3/2022 11:00","abhishek_s","3","#hope #support #days","16","260","India","2022","4","3","11","1","1","1","1","1","1","No Depression"
"ସମସ୍ତ ସ୍ଥିତିରେ ଆଶା ଓ ପ୍ରେରଣା ଅବଶ୍ୟକ।","Positive","4/3/2020 12:00","sushmita_r","3","#hope #inspiration #life","28","330","India","2020","4","3","12","1","1","1","1","1","2","Minimal Depression"
"ଆମେ ଯଦି ସ୍ଥିର ଓ ସକ୍ରିୟ ରହୁ, ତେବେ ସମସ୍ୟା ଦୂର କରିବା ସହଜ।","Positive","4/3/2023 13:00","tanisha_k","3","#stability #activity #solutions","20","290","India","2023","4","3","13","1","1","1","1","1","2","Minimal Depression"
"ସମୟ ଓ ଶାନ୍ତି ପ୍ରାପ୍ତ କରିବାର ଆଶା ରହିଛି।","Neutral","4/3/2019 14:00","neeraj_s","3","#time #peace #hope","18","280","India","2019","4","3","14","1","1","1","1","1","1","No Depression"
"କେତେକ ସମୟରେ ଆମେ ଶ୍ରେଷ୍ଠତା ଅପେକ୍ଷା କରୁଛୁ।","Neutral","4/3/2018 15:00","radhika_r","3","#expectations #best #efforts","20","260","India","2018","4","3","15","1","1","1","1","1","1","No Depression"
"ଆପଣଙ୍କ ସହଯୋଗ ଓ ସମର୍ଥନ ଆମକୁ ଅଧିକ ପ୍ରେରିତ କରେ।","Positive","4/3/2023 16:00","pooja_m","3","#support #motivation #help","22","310","India","2023","4","3","16","1","1","1","1","1","2","Minimal Depression"
"ନିଜ ସାଧାରଣ ଚିନ୍ତାରେ ସମ୍ମାନ ଓ ଶିକ୍ଷା ବଢାଇବା ଆବଶ୍ୟକ।","Neutral","4/3/2021 17:00","sandeep_r","3","#respect #education #normal","16","270","India","2021","4","3","17","1","1","1","1","1","1","No Depression"
"ଆପଣଙ୍କ ସହିତ ସହଯୋଗ ଏବଂ ସମ୍ମାନ ପାଇଁ ଧନ୍ୟବାଦ।","Positive","4/3/2024 18:00","rajiv_k","3","#thanks #cooperation #respect","30","350","India","2024","4","3","18","1","1","1","1","1","2","Minimal Depression"
"ଆମେ ମାନସିକ ଶାନ୍ତି ପାଇଁ ପ୍ରତିଦିନ ଅଭିନନ୍ଦନ କରୁଛୁ।","Neutral","4/3/2022 19:00","sonia_r","3","#mentalpeace #daily #appreciation","20","290","India","2022","4","3","19","1","1","1","1","1","1","No Depression"
"ଶକ୍ତି ଓ ଆଶା ଆମ ଜୀବନର ଅନ୍ୟତମ ଅଂଶ।","Positive","4/4/2021 8:00","amit_s","3","#strength #hope #life","28","320","India","2021","4","4","8","1","1","1","1","1","2","Minimal Depression"
"ସେତେବେଳେ ଆମେ ସୁଖ ଓ ସମୃଦ୍ଧି ପାଇଁ କାର୍ଯ୍ୟ କରୁଛୁ।","Positive","4/4/2022 9:00","priyanka_k","3","#happiness #prosperity #work","24","310","India","2022","4","4","9","1","1","1","1","1","2","Minimal Depression"
"ଆମର ପ୍ରୟାସ ଏବଂ ଆଶା ସେମାନଙ୍କୁ ସହଯୋଗ କରେ।","Positive","4/4/2023 10:00","akash_s","3","#efforts #hope #support","20","300","India","2023","4","4","10","1","1","1","1","1","2","Minimal Depression"
"କେତେକ ସମୟରେ ଆମେ ତୁମର ସହଯୋଗ ଦରକାର।","Neutral","4/4/2020 11:00","deepika_s","3","#help #support #needed","18","270","India","2020","4","4","11","1","1","1","1","1","1","No Depression"
"ସମସ୍ତ ଚିନ୍ତା ଓ ଅସୁବିଧାର ସମାଧାନ ଆମର ଆଶା।","Neutral","4/4/2019 12:00","ankit_s","3","#solution #troubles #hope","22","280","India","2019","4","4","12","1","1","1","1","1","1","No Depression"
"ତୁମେ ଯଦି ଆମର ସହଯୋଗ କରିବେ, ସମସ୍ୟା ସମାଧାନ ହେବ।","Positive","4/4/2023 13:00","rita_m","3","#support #solution #help","24","290","India","2023","4","4","13","1","1","1","1","1","2","Minimal Depression"
"ଆମେ ଯେତେବେଳେ ନିଜର ମାନସିକ ସ୍ଥିତି ଦୂର କରିପାରିବା।","Neutral","4/4/2022 14:00","anuj_r","3","#mentalhealth #solution #life","18","260","India","2022","4","4","14","1","1","1","1","1","1","No Depression"
"ସମସ୍ତ ଚିନ୍ତା ଓ ଦୁଃଖରେ ଆମେ ଆଶା ଓ ସହଯୋଗ ମଧ୍ୟରେ ରହୁ।","Positive","4/4/2021 15:00","amit_k","3","#hope #support #life","26","310","India","2021","4","4","15","1","1","1","1","1","2","Minimal Depression"
"ତୁମେ ଆମକୁ ସମସ୍ୟା ପ୍ରତିକାର କରିବାର ସାହାୟ୍ୟ କର।","Neutral","4/4/2018 16:00","rani_m","3","#help #support #solutions","22","270","India","2018","4","4","16","1","1","1","1","1","1","No Depression"
"ଆମେ ନିଜ ପ୍ରୟାସ ସହିତ ମନୋବଳ ଓ ଆଶା ରଖୁଛୁ।","Positive","4/4/2023 17:00","shweta_s","3","#efforts #morale #hope","20","290","India","2023","4","4","17","1","1","1","1","1","2","Minimal Depression"
"ଆମେ ସାଧାରଣ ଜୀବନରେ ସାହାଯ୍ୟ ପାଇବା ଏବଂ ପ୍ରଦାନ କରିବାର ଦିନ।","Positive","4/4/2024 18:00","nidhi_k","3","#help #life #giving","28","330","India","2024","4","4","18","1","1","1","1","1","2","Minimal Depression"
"ସମୟ ଓ ଚିନ୍ତାର ସମାଧାନ ପାଇଁ ଆମେ କରୁଛୁ।","Neutral","4/4/2020 19:00","ramesh_k","3","#time #problems #solution","18","280","India","2020","4","4","19","1","1","1","1","1","1","No Depression"
"ସେମାନଙ୍କୁ ସହଯୋଗ ଓ ନିୟମିତ ଶିକ୍ଷା ପ୍ରଦାନ କରିବା ଆବଶ୍ୟକ।","Neutral","4/4/2021 20:00","pratik_r","3","#education #support #rules","18","260","India","2021","4","4","20","1","1","1","1","1","1","No Depression"
"ଆମେ ଯୋଗଦାନ ଏବଂ ସ୍ଥିରତା ମଧ୍ୟରେ ରହୁ।","Positive","4/4/2023 21:00","raj_k","3","#contribution #stability","22","310","India","2023","4","4","21","1","1","1","1","1","2","Minimal Depression"
"ସମସ୍ତ ସ୍ଥିତିରେ ସହଯୋଗ ଓ ସମାଧାନ ପ୍ରଦାନ କରିବାର ଆଶା ରହିଛି।","Positive","4/5/2024 8:00","divya_s","3","#support #solutions #hope","26","320","India","2024","4","5","8","1","1","1","1","1","2","Minimal Depression"
"ସେତେବେଳେ ଆମେ ଉତ୍ସାହ ଓ ସହଯୋଗ ପାଇଁ ଅନୁଗ୍ରହ କରୁଛୁ।","Positive","4/5/2022 9:00","tanushree_k","3","#enthusiasm #cooperation","24","310","India","2022","4","5","9","1","1","1","1","1","2","Minimal Depression"
"ଆମେ ସମସ୍ତ ସ୍ଥିତିରେ ସାହାଯ୍ୟ ପ୍ରଦାନ କରିବା ପାଇଁ ପ୍ରସ୍ତୁତ।","Positive","4/5/2024 10:00","ankur_k","3","#help #prepared #support","20","300","India","2024","4","5","10","1","1","1","1","1","2","Minimal Depression"
"ଆମେ ଆଶା ଓ ସହଯୋଗ ପ୍ରଦାନ କରିବା ପାଇଁ ପ୍ରସ୍ତୁତ ଅଛୁ।","Positive","4/5/2023 11:00","kiran_s","3","#hope #support #ready","28","310","India","2023","4","5","11","1","1","1","1","1","2","Minimal Depression"
"ଆମର ମାନସିକ ସ୍ଥିତି ଭଲ ରହିବା ଆଶା କରୁଛୁ।","Neutral","4/5/2019 12:00","meera_k","3","#mentalhealth #hope #wellbeing","22","290","India","2019","4","5","12","1","1","1","1","1","1","No Depression"
"ସମସ୍ତ ସ୍ଥିତିରେ ଆଶା ଓ ସାହାଯ୍ୟ ମିଳିବ।","Positive","4/5/2022 13:00","neelam_r","3","#hope #help #situations","24","300","India","2022","4","5","13","1","1","1","1","1","2","Minimal Depression"
"ଆପଣଙ୍କ ସହଯୋଗ ଓ ଅଧିକାର ନେବା ପାଇଁ ଧନ୍ୟବାଦ।","Positive","4/5/2024 14:00","sonal_r","3","#thanks #cooperation #rights","28","320","India","2024","4","5","14","1","1","1","1","1","2","Minimal Depression"
"ସମସ୍ତ ସ୍ଥିତିରେ ସହଯୋଗ ଓ ସମାଧାନ ପ୍ରଦାନ କରିବାର ଆଶା କରୁଛି।","Positive","4/5/2023 15:00","sneha_r","3","#support #solutions #hope","26","330","India","2023","4","5","15","1","1","1","1","1","2","Minimal Depression"
