caption,mental_state,language
"Boredom settles like dust, life feels mundane.     ",Normal,English
"आइना कहता है, तुम में कोई और बात है।",Normal,Hindi
Ich liebe die Natur und ihre Schönheit.,Moderately Depressed,English
"Embarked on a hiking adventure, conquering trails and relishing the beauty of nature. Age is just a number on the mountaintop. #HikingAdventure #SeniorHiker ",Happy,English
"आइना कहता है, तुम में कोई और बात है।",Normal,Hindi
"In the void of heartache, echoes of a love song play, each Note a pang of longing. ",Happy,English
Exploring the universe within during a Moderate Depressionld Depressionndful meditation session. ,Severely Depressed,English
ज़िंदगी कभी आसान नहीं होती। 😕 #संघर्ष,Happy,Hindi
"बातें उससे शुरू होती हैं और ख्वाबों में उसी के रंग बिखरते हैं, जैसे दिल की हर सदी उसी का इंतजार करती रही हो।",Stressed,Hindi
Tried a magic trick to impress classmates. Magic fail: Where did that rabbit go? ,Happy,English
"Accidentally spilled paint in art class. Abstract art, right? #ArtClassAdventures #HighSchoolArtist ",Moderately Depressed,English
Reverence for the artistry displayed in a museum.      ,Stressed,English
Ich liebe die Natur und ihre Schönheit.,Happy,English
OptiModerate Depressionld Depressionsm for a bright future aModerate Depressionld Depressiondst challenging times.           ,Happy,English
ସେହିପରି ଜୀବନ ଦିନ ପରେ ଦିନ ଚାଲୁଛି।,Normal,Hindi
"Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ",Moderately Depressed,English
"The echoes of solitude, a silent conversation between a soul and its shadows. ",Stressed,English
आसमा के परे एक जहां है कहीं झूठ सच का वाहा काएदा ही नही,Moderately Depressed,Hindi
Euphoria floods in as the final puzzle piece fits perfectly.       ,Happy,English
Feeling a sense of emptiness after a close friend moves away. Farewells are always sad. ,Moderately Depressed,English
"Wrestling with thoughts, a perplexed Moderate Depressionld Depressionnd lost in the labyrinth of life's complexities. ",Moderately Depressed,English
"C’est la saison des fleurs, profitons-en!",Happy,English
ସମୟ ଓ ଶାନ୍ତି ପ୍ରାପ୍ତ କରିବାର ଆଶା ରହିଛି।,Happy,Hindi
हर समस्या का हल ढूंढो।,Moderately Depressed,Hindi
Serenity found in the pages of a favorite book.        ,Severely Depressed,English
कभी-कभी छोटी बातें भी दिल को खुश कर देती हैं।,Happy,Hindi
"उसकी एक हंसी जैसे दिल के हर दर्द पर मरहम, जैसे सूरज की पहली किरण ठंड में गर्माहट घोलती है।",Moderately Depressed,Hindi
Bonjour! Aujourd’hui est une belle journée.,Happy,English
"La vida es un viaje, disfruta cada momento.",Moderately Depressed,English
आज खुद को थोड़ा सा प्यार करने का मन है।,Normal,Hindi
कुछ रिश्ते चाय के भी होने चाहिए,Moderately Depressed,Hindi
Enthusiasm for a new artistic project in the works.  ,Happy,English
आज बादलों की छांव में सुकून मिला। ☁️ #मौसम,Normal,Hindi
"हवा के झोंकों से लड़ना, फितरत में है हमारी।",Normal,Hindi
"Emotional storm, a whirlwind of sadness engulfs every thought.    ",Stressed,English
"Betrayal, a veNomous serpent slithering through the garden of trust, poisoning roots. ",Stressed,English
दिल की किताब का हर पन्ना कुछ नया कहता है।,Happy,Hindi
"Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",Moderately Depressed,English
Ich liebe die Natur und ihre Schönheit.,Happy,English
"The gymnast's unexpected fall during a routine sparks a wave of sympathy from the audience, highlighting the vulnerability of sports. ",Happy,English
यादें दिल को दर्द देती हैं। 😔 #पुरानी_यादें,Happy,Hindi
Productive day ticking off my to-do list.          ,Happy,English
"Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuModerate Depressionld Depressionnated by the sun of optiModerate Depressionld Depressionsm. ",Moderately Depressed,English
"मेरी दुनिया बस इतनी-सी है, और ये मुझे बहुत प्यारी है।",Severely Depressed,Hindi
जो मुक़ाम कम लोगों के नसीब होगा उसमें मेरा नाम ज़रूर शामिल होगा,Happy,Hindi
"Jealousy gnaws at my confidence, a toxic emotion.  ",Normal,English
Arousal of excitement for an upcoModerate Depressionld Depressionng adventure.       ,Severely Depressed,English
"Rocking out to the guitar solos at a Queen tribute concert, a journey back in time with Freddie's spirit. ",Happy,English
"वो एक एहसास है जो शब्दों से परे है, जैसे दिल की किताब में कोई अधूरी पर बेहद प्यारी कविता।",Happy,Hindi
"शब्दों में बयां न हो पाए वो एहसास, जो इस पहनावे में बसता है।",Happy,Hindi
Amar a vida é um presente maravilhoso.,Normal,English
Bonjour! Aujourd’hui est une belle journée.,Stressed,English
"Anxiety grips my heart, worry clouds my thoughts.  ",Happy,English
रिश्ते निभाने का कोई मोल नहीं होता। ❤️ #रिश्ते,Normal,Hindi
Ich liebe die Natur und ihre Schönheit.,Normal,English
न में गिरा ना मेरी उम्मीदों के मीनार गिरे पर कुछ लोग मुझे गिराने में कई बार गिरे।,Stressed,Hindi
Ich liebe die Natur und ihre Schönheit.,Severely Depressed,English
"Heartache deepens, a solitary journey through the abyss of despair. ",Moderately Depressed,English
"Entered the kitchen with the intention to cook. Left with a bag of chips. Cooking is overrated, anyway. #MasterChefInTraining #TeenHumor ",Happy,English
"जिंदगी के इस सफर में एक ऐसी आवाज़ है, जो हर खामोशी में दिल की धड़कनों के संग लिपटी रहती है।",Normal,Hindi
"Organizing a virtual talent show during challenging times, bringing sModerate Depressionld Depressionles to classmates' faces! ",Severely Depressed,English
Reverence for the artistry displayed in a museum.      ,Happy,English
"Wrestling with thoughts, a perplexed Moderate Depressionld Depressionnd lost in the labyrinth of life's complexities. ",Happy,English
"At a Justin Bieber concert, the infectious beats of 'Baby' create a dance floor of unbridled enthusiasm. ",Moderately Depressed,English
Pride in accomplishing personal and professional goals.  ,Moderately Depressed,English
"सपनों की परवाज़ में ऊंचाई मायने नहीं रखती, उड़ान मायने रखती है।",Stressed,Hindi
"La vida es un viaje, disfruta cada momento.",Happy,English
ସମସ୍ତ ଚିନ୍ତା ଓ ଅସୁବିଧାର ସମାଧାନ ଆମର ଆଶା।,Moderately Depressed,Hindi
Euphoria floods in as the final puzzle piece fits perfectly.       ,Happy,English
नजर से इशारे रुख़ पे नकाब होता है। थोड़ा थोड़ा तो हर कोई खराब होता है।।,Stressed,Hindi
Decided to learn a new instrument. Day one: Still trying to figure out how to hold it. #MusicNovice #LearningJourney ,Normal,English
Hoy me siento lleno de energía y motivación.,Happy,English
"खुद को सजाने की चाह नहीं, खुद को पहचानने की जरूरत है।",Moderately Depressed,Hindi
"में तो किसी की होके, ये भी न जानी रुत है ये दो पल की या रहेगी सदा।",Happy,Hindi
"Melancholy painting the world in hues of Nostalgia, a canvas of bittersweet memories. ",Severely Depressed,English
Amar a vida é um presente maravilhoso.,Happy,English
Arousal of excitement for an upcoModerate Depressionld Depressionng festival.       ,Stressed,English
"आज खुद को वो तोहफा दिया, जो किसी और ने कभी नहीं दिया।",Normal,Hindi
Witnessed a heated argument in the cafeteria. Unpleasant atmosphere at lunch. ,Normal,English
Experimenting with a new recipe for a school bake sale. Baking adventures in the kitchen. ,Happy,English
"Devastated, a heart in ruins, the echoes of shattered dreams reverberating in the chambers, a requiem for what once was whole. ",Stressed,English
Amar a vida é um presente maravilhoso.,Normal,English
"जब सवाल खुद से हो, तो जवाब आईने में छुपा होता है।",Stressed,Hindi
"उसकी एक हंसी जैसे दिल के हर दर्द पर मरहम, जैसे सूरज की पहली किरण ठंड में गर्माहट घोलती है।",Happy,Hindi
Feeling empowered after conquering a challenging hiking trail.     ,Stressed,English
Joyful reunion with long-lost friends after years of separation.   ,Happy,English
Amar a vida é um presente maravilhoso.,Happy,English
"खुश रहना सीखो, जिंदगी का हर पल अमूल्य है।",Stressed,Hindi
"Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered kNowledge. ",Moderately Depressed,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
Amar a vida é um presente maravilhoso.,Moderately Depressed,English
"La vida es un viaje, disfruta cada momento.",Moderately Depressed,English
Confusion reigns as I try to make sense of recent events.,Happy,English
Anticipating a thrilling adventure in the coModerate Depressionld Depressionng weeks. ,Happy,English
"La vida es un viaje, disfruta cada momento.",Happy,English
खुद की तारीफ करने में कोई बुराई नहीं; आईना भी ये ही कहता है।,Normal,Hindi
"Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",Stressed,English
ख्वाबों का पीछा करते करते खुद को पा लिया।,Happy,Hindi
"At the front row of Adele's concert, each Note of 'Someone Like You' resonates with soul-stirring emotion. ",Stressed,English
आइने में वो भी दिखता है जो कई बार हम खुद से भी छुपाते हैं।,Normal,Hindi
Ich liebe die Natur und ihre Schönheit.,Happy,English
Whimsical delight in a world of whimsical fairy tales.             ,Severely Depressed,English
"Despite meticulous training, the swimmer faces disappointment as a split-second Moderate Depressionld Depressionscalculation costs them the lead in a crucial race. ",Stressed,English
"Wrestling with thoughts, a perplexed Moderate Depressionld Depressionnd lost in the labyrinth of life's complexities. ",Happy,English
"Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. ",Normal,English
Amar a vida é um presente maravilhoso.,Happy,English
"La vida es un viaje, disfruta cada momento.",Severely Depressed,English
"Started a photography club at school. Capturing moments, one snapshot at a time! ",Normal,English
हर दिन एक नया अवसर है।,Happy,Hindi
Ich liebe die Natur und ihre Schönheit.,Happy,English
Reflecting on personal growth achieved through life experiences.  ,Normal,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
Enthusiastically diving into a new project.            ,Moderately Depressed,English
Reverence for the artistry displayed in a museum.      ,Severely Depressed,English
"मेरी जड़ों का एहसास, जो इस लिबास के रंगों में खिलता है।",Moderately Depressed,Hindi
Amar a vida é um presente maravilhoso.,Severely Depressed,English
Bonjour! Aujourd’hui est une belle journée.,Severely Depressed,English
Experimenting with a new hair color. A bold change for a bold semester! ,Severely Depressed,English
दिल के राज़ ऐसे हैं जैसे रात में बर्फ की चादर ओढ़े पहाड़।,Moderately Depressed,Hindi
"जैसे-जैसे निखरते हैं हम, वैसे-वैसे दुनिया का रंग फीका लगता है।",Happy,Hindi
"Rocking out to the guitar solos at a Queen tribute concert, a journey back in time with Freddie's spirit. ",Normal,English
Inspiration strikes while observing the colors of a vibrant sunset.,Happy,English
"Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ",Happy,English
Curiosity awakened by the mysteries of an ancient archaeological site. ,Happy,English
"Attending a surprise birthday party organized by friends. Surrounded by love, laughter, and good company! ",Moderately Depressed,English
"La vida es un viaje, disfruta cada momento.",Normal,English
"तुम्हे मुस्कुराता देख, हम मुस्कुराने लग गए !...",Stressed,Hindi
Ich liebe die Natur und ihre Schönheit.,Stressed,English
Exploring the universe within during a Moderate Depressionld Depressionndful meditation session. ,Happy,English
"Avoiding the thorns of regret, walking barefoot on the path of remorse. ",Happy,English
"Wrestling with thoughts, a perplexed Moderate Depressionld Depressionnd lost in the labyrinth of life's complexities. ",Happy,English
Participating in a school-wide art exhibition. Witnessing creativity and spreading positive vibes! ,Stressed,English
"Embarked on a hiking adventure, conquering trails and relishing the beauty of nature. Age is just a number on the mountaintop. #HikingAdventure #SeniorHiker ",Stressed,English
जमी हुई भावनाएं भी टूटती हैं। ❄️ #भावनाएं,Stressed,Hindi
Ich liebe die Natur und ihre Schönheit.,Happy,English
"La vida es un viaje, disfruta cada momento.",Happy,English
Arousal of excitement for an upcoModerate Depressionld Depressionng adventure.       ,Normal,English
Moderate Depressionld Depressionssing an important event due to unforeseen circumstances. A day filled with sadness. ,Moderately Depressed,English
Ich liebe die Natur und ihre Schönheit.,Happy,English
मुझे कुछ समझ नहीं आ रहा।,Happy,Hindi
"In the tennis tournament, a highly anticipated player experiences a setback, leaving fans in shock and questioning the unforeseen turn of events. ",Moderately Depressed,English
Ich liebe die Natur und ihre Schönheit.,Moderately Depressed,English
Feeling empowered after conquering a challenging hiking trail.     ,Stressed,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
"हर जवाब सवाल नहीं मांगता, कुछ बातें बिना कहे भी ख़ास होती हैं।",Moderately Depressed,Hindi
"Embarked on a hiking adventure, conquering trails and relishing the beauty of nature. Age is just a number on the mountaintop. #HikingAdventure #SeniorHiker ",Moderately Depressed,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
हर दिन एक नई शुरुआत है।,Stressed,Hindi
Accidentally liked my crush's old photo while stalking their profile. Awkward level: Maximum! ,Stressed,English
हर दिन एक नया अवसर है।,Moderately Depressed,Hindi
Ich liebe die Natur und ihre Schönheit.,Moderately Depressed,English
Having a bad hair day and feeling self-conscious. Bad hair days can affect confidence. ,Happy,English
"La vida es un viaje, disfruta cada momento.",Happy,English
Pure happiness: celebrating a loved one's achievement! ,Moderately Depressed,English
खुद की तारीफ करने में कोई बुराई नहीं; आईना भी ये ही कहता है।,Happy,Hindi
दिल के राज़ ऐसे हैं जैसे रात में बर्फ की चादर ओढ़े पहाड़।,Moderately Depressed,Hindi
The fear of the unkNown is keeping me up at night.    ,Happy,English
Elation after a surprise reunion with old friends.    ,Severely Depressed,English
"Jealousy gnaws at my confidence, a toxic emotion.  ",Stressed,English
हर सपना पूरा करने की ताकत तुम्हारे अंदर है। 💪 #सपने_साकार,Happy,Hindi
"Helplessness engulfs me, drowning in a sea of problems.",Sad,English
"Frustrated fingers tapping on the keyboard, a symphony of anNoyance composing an unsolvable puzzle of unmet expectations. ",Stressed,English
मुझे लगता है सब खत्म हो गया।,Happy,Hindi
Moderate Depressionld Depressionssing an important event due to unforeseen circumstances. A day filled with sadness. ,Moderately Depressed,English
Joyful reunion with long-lost friends after years of separation.   ,Moderately Depressed,English
"Despair clouds the Moderate Depressionld Depressionnd, feeling adrift in an endless sea of darkness. ",Stressed,English
"तुम हमेशा मेरे लिए ख़ास रहोगे, फिर चाहे हमारी बात हो या ना हो !",Happy,Hindi
Amar a vida é um presente maravilhoso.,Happy,English
गले लगाकर पीठ थपथपाना दुनिया बदलने से कम बड़ा काम नहीं है.,Moderately Depressed,Hindi
"Exploring the ancient ruins of Angkor Wat, each stone whispering stories of Khmer civilization. ",Happy,English
Amar a vida é um presente maravilhoso.,Happy,English
आज का दिन बहुत अच्छा है।,Moderately Depressed,Hindi
Curiosity awakened by the mysteries of an ancient archaeological site. ,Normal,English
"At the front row of Adele's concert, each Note of 'Someone Like You' resonates with soul-stirring emotion. ",Happy,English
Confusion surrounds me as I navigate through life's choices. ,Normal,English
"इस अक्स में छुपी है वो सारी बातें, जो सिर्फ मैं जानती हूँ।",Moderately Depressed,Hindi
"La vida es un viaje, disfruta cada momento.",Normal,English
"कहानी अधूरी सही, पर खूबसूरत है।",Happy,Hindi
"La vida es un viaje, disfruta cada momento.",Happy,English
हर सपना पूरा करने की ताकत तुम्हारे अंदर है। 💪 #सपने_साकार,Moderately Depressed,Hindi
"Exploring a new hiking trail with friends over the weekend. Nature, laughter, and good vibes! ",Happy,English
आसमा के परे एक जहां है कहीं झूठ सच का वाहा काएदा ही नही,Normal,Hindi
Ich liebe die Natur und ihre Schönheit.,Moderately Depressed,English
"Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. ",Happy,English
"Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. ",Happy,English
Having a bad hair day and feeling self-conscious. Bad hair days can affect confidence. ,Stressed,English
Ich liebe die Natur und ihre Schönheit.,Happy,English
"Lost in the vast sea of information, an indifferent wave in the digital ocean. ",Happy,English
Amar a vida é um presente maravilhoso.,Stressed,English
Confidence soars after overcoModerate Depressionld Depressionng public speaking anxiety.       ,Happy,English
"Jealousy gnaws at my confidence, a toxic emotion.  ",Stressed,English
"Started a blog sharing the wisdom gained through the years, proving that every day is a chance to learn and grow. #SeniorWisdom #Blog ",Moderately Depressed,English
Spent hours perfecting a cheModerate Depressionld Depressionstry experiment. Moderate Depressionld Depressionxing potions like a wizard! ,Stressed,English
"La vida es un viaje, disfruta cada momento.",Moderately Depressed,English
"La vida es un viaje, disfruta cada momento.",Happy,English
Spent hours perfecting a cheModerate Depressionld Depressionstry experiment. Moderate Depressionld Depressionxing potions like a wizard! ,Stressed,English
Attending a school club meeting to explore new interests. Dabbling in extracurricular activities. ,Normal,English
"Rocking out to the guitar solos at a Queen tribute concert, a journey back in time with Freddie's spirit. ",Stressed,English
Ich liebe die Natur und ihre Schönheit.,Stressed,English
"In the carnival of emotions, the rollercoaster of thrill sends the heart on a wild ride. ",Normal,English
अकेलेपन की भी अपनी कहानी है। #खामोशी,Normal,Hindi
Amar a vida é um presente maravilhoso.,Sad,English
Envy eats away at me as I see others' prosperity.  ,Happy,English
Trying out a new recipe for dinner tonight.        ,Normal,English
"Entered the kitchen with the intention to cook. Left with a bag of chips. Cooking is overrated, anyway. #MasterChefInTraining #TeenHumor ",Severely Depressed,English
"La vida es un viaje, disfruta cada momento.",Happy,English
Confusion clouds my Moderate Depressionld Depressionnd as I navigate through decisions.,Severely Depressed,English
"Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered kNowledge. ",Moderately Depressed,English
"As the credits roll, a profound sense of Nostalgia washes over, reModerate Depressionld Depressionniscent of cherished moments in classic films. ",Stressed,English
आज का दिन बेहद खूबसूरत है! ❤️ #खुशियां #सुकून,Stressed,Hindi
"Betrayal, a veNomous serpent slithering through the garden of trust, poisoning roots. ",Happy,English
Witnessed a heated argument in the cafeteria. Unpleasant atmosphere at lunch. ,Moderately Depressed,English
"La vida es un viaje, disfruta cada momento.",Moderately Depressed,English
Captivated by the ethereal beauty of a field filled with fireflies. ,Normal,English
खुद की तारीफ करने में कोई बुराई नहीं; आईना भी ये ही कहता है।,Stressed,Hindi
"C’est la saison des fleurs, profitons-en!",Happy,English
Hoy me siento lleno de energía y motivación.,Stressed,English
Drenched in Nostalgia while flipping through an old faModerate Depressionld Depressionly photo album. ,Moderately Depressed,English
हर समस्या का हल ढूंढो।,Happy,Hindi
"Curiosity driving the exploration of the unkNown, a seeker of kNowledge in uncharted territories. ",Normal,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
जीवन में सफलता पाने के लिए साहस चाहिए।,Stressed,Hindi
Bonjour! Aujourd’hui est une belle journée.,Happy,English
"Curiosity driving the exploration of the unkNown, a seeker of kNowledge in uncharted territories. ",Stressed,English
"Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",Stressed,English
Captivated by the ethereal beauty of a field filled with fireflies. ,Moderately Depressed,English
Attending a school club meeting to explore new interests. Dabbling in extracurricular activities. ,Happy,English
"Curiosity driving the exploration of the unkNown, a seeker of kNowledge in uncharted territories. ",Moderately Depressed,English
"DisModerate Depressionld Depressionssive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference. ",Moderately Depressed,English
"Curiosity leading me down the rabbit hole of kNowledge, a perpetual student in life's classroom. ",Stressed,English
अपने आपको समय दो।,Stressed,Hindi
तुमको देखा तो ये ख़याल आया ज़िंदगी धूप तुम घना साया,Happy,Hindi
Ich liebe die Natur und ihre Schönheit.,Normal,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
"हर दुआ की तासीर में जैसे उसकी परछाई हो, ख्वाहिशें भी उसे पा लेने का हुनर सीख रही हैं।",Stressed,Hindi
"दिल के करीब कुछ खास हैं, जो लफ्ज़ों में बयां नहीं होते।",Moderately Depressed,Hindi
Disgust at the corruption that stains society.     ,Normal,English
Moderate Depressionld Depressionssing an important event due to unforeseen circumstances. A day filled with sadness. ,Moderately Depressed,English
"जुनून का चेहरा देखना हो, तो मेरी आँखों में देखो।",Happy,Hindi
"Sinking like autumn leaves in the river of sorrow, carried away by the current. ",Happy,English
विफलता सफलता की पहली सीढ़ी है।,Happy,Hindi
"ये प्रेम ऐसा कि जैसे सूरज की पहली किरण, जो हर दिन दिल को एक नई सुबह सा एहसास देती है।",Happy,Hindi
Hoy me siento lleno de energía y motivación.,Happy,English
"ज़िंदगी छोटी है, इसे हंसी-खुशी जियो। 😄 #खुशी",Normal,Hindi
Bonjour! Aujourd’hui est une belle journée.,Happy,English
Confidence soars after overcoModerate Depressionld Depressionng public speaking anxiety.       ,Stressed,English
Hoy me siento lleno de energía y motivación.,Happy,English
Enthusiastically diving into a new project.            ,Normal,English
दूसरों से कभी तुलना मत करो।,Happy,Hindi
"La vida es un viaje, disfruta cada momento.",Happy,English
यादों का कोई हिसाब नहीं होता। 😔 #पुरानी_यादें,Happy,Hindi
OptiModerate Depressionld Depressionsm for a bright future aModerate Depressionld Depressiondst challenging times.           ,Severely Depressed,English
गले लगाकर पीठ थपथपाना दुनिया बदलने से कम बड़ा काम नहीं है.,Stressed,Hindi
Ich liebe die Natur und ihre Schönheit.,Happy,English
"Tears, the ink staining the pages of a journal, a testament to silent grief. ",Stressed,English
प्रेम वो नहीं है जो हमें पढ़ाया गया है।,Stressed,Hindi
"ये सिर्फ़ तस्वीर नहीं, खुद से किया एक छोटा सा वादा है।",Moderately Depressed,Hindi
"Accidentally spilled paint in art class. Abstract art, right? #ArtClassAdventures #HighSchoolArtist ",Moderately Depressed,English
Ich liebe die Natur und ihre Schönheit.,Normal,English
आज आईना भी मेरे आत्मविश्वास की तारीफ कर रहा है।,Stressed,Hindi
कल से बेहतर आज।,Stressed,Hindi
Ran out of snacks during a movie marathon. Crisis level: Emergency! #MovieNightStruggles #TeenProblems ,Happy,English
"बातें उससे शुरू होती हैं और ख्वाबों में उसी के रंग बिखरते हैं, जैसे दिल की हर सदी उसी का इंतजार करती रही हो।",Normal,Hindi
Winter blues got me feeling low.                   ,Moderately Depressed,English
Amar a vida é um presente maravilhoso.,Happy,English
Gratitude for the supportive community around me.    ,Moderately Depressed,English
Hoy me siento lleno de energía y motivación.,Stressed,English
कोई साथ नहीं देता।,Happy,Hindi
"Yearning for a touch that's Not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ",Happy,English
Amar a vida é um presente maravilhoso.,Happy,English
Excited about the upcoModerate Depressionld Depressionng gaModerate Depressionld Depressionng tournament.      ,Normal,English
Moderate Depressionld Depressionssing an important event due to unforeseen circumstances. A day filled with sadness. ,Stressed,English
"Tears, the ink staining the pages of a journal, a testament to silent grief. ",Moderately Depressed,English
Ich liebe die Natur und ihre Schönheit.,Normal,English
"C’est la saison des fleurs, profitons-en!",Moderately Depressed,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
Hoy me siento lleno de energía y motivación.,Stressed,English
कभी-कभी खुद से भी दूर हो जाते हैं। 😔 #खुद,Moderately Depressed,Hindi
Spent hours perfecting a cheModerate Depressionld Depressionstry experiment. Moderate Depressionld Depressionxing potions like a wizard! ,Severely Depressed,English
Elation after a surprise reunion with old friends.    ,Happy,English
विफलता सफलता की पहली सीढ़ी है।,Happy,Hindi
Confidence soars after overcoModerate Depressionld Depressionng public speaking anxiety.       ,Happy,English
Amar a vida é um presente maravilhoso.,Happy,English
Witnessed a heated argument in the cafeteria. Unpleasant atmosphere at lunch. ,Normal,English
"Isolation deepens, an emotional winter where warmth is but a distant memory. ",Happy,English
Reverence for the artistry displayed in a museum.      ,Moderately Depressed,English
"Jealousy gnaws at my confidence, a toxic emotion.  ",Stressed,English
Hoy me siento lleno de energía y motivación.,Severely Depressed,English
Ich liebe die Natur und ihre Schönheit.,Happy,English
"Melancholy painting the world in hues of Nostalgia, a canvas of bittersweet memories. ",Moderately Depressed,English
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",Moderately Depressed,English
"Attending a surprise birthday party organized by friends. Surrounded by love, laughter, and good company! ",Stressed,English
"Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions. ",Severely Depressed,English
"C’est la saison des fleurs, profitons-en!",Happy,English
ସେହିପରି ଜୀବନ ଦିନ ପରେ ଦିନ ଚାଲୁଛି।,Happy,Hindi
Pride in accomplishing personal and professional goals.  ,Happy,English
Gratitude for the supportive community around me.    ,Severely Depressed,English
जीवन एक पहेली है।,Happy,Hindi
जीवन को बेहतर बनाने के लिए बदलाव ज़रूरी है।,Stressed,Hindi
"Overwhelmed by grief, Moderate Depressionld Depressionssing a loved one dearly.  ",Stressed,English
"As the credits roll, a profound sense of Nostalgia washes over, reModerate Depressionld Depressionniscent of cherished moments in classic films. ",Sad,English
"आईना कहता है, मेरी ताकत मेरी मुस्कान में छुपी है।",Normal,Hindi
"चॉकलेट सी मिठास और टेडी जैसा आराम, यही है मेरा स्टाइल!",Happy,Hindi
"Curiosity driving the exploration of the unkNown, a seeker of kNowledge in uncharted territories. ",Happy,English
"उसकी एक झलक में जैसे कायनात की सारी बातें छुपी हैं, जैसे वो सब कुछ हो और बाकी सब बस एक बहाना।",Moderately Depressed,Hindi
Bonjour! Aujourd’hui est une belle journée.,Normal,English
"Bitterness, a bitter aftertaste lingering on the tongue, each word a reModerate Depressionld Depressionnder of wounds that refuse to heal with the passing of time. ",Happy,English
Amar a vida é um presente maravilhoso.,Moderately Depressed,English
Hoy me siento lleno de energía y motivación.,Stressed,English
Bonjour! Aujourd’hui est une belle journée.,Moderately Depressed,English
"Frustration escalates, a thunderstorm of emotions. ",Stressed,English
"Sinking like autumn leaves in the river of sorrow, carried away by the current. ",Happy,English
"जिसे पाया नहीं, उसकी तस्वीर अब दिल में कैद है।",Happy,Hindi
Ich liebe die Natur und ihre Schönheit.,Normal,English
Attending a live music concert tonight.            ,Happy,English
"Tears, the ink staining the pages of a journal, a testament to silent grief. ",Moderately Depressed,English
"खुशी एक यात्रा है, मंजिल नहीं।",Happy,Hindi
Reverence for the artistry displayed in a museum.      ,Moderately Depressed,English
Ich liebe die Natur und ihre Schönheit.,Stressed,English
बच्चों जैसी मासूमियत और सपनों की परियों सी दुनिया!,Normal,Hindi
"Organizing a virtual talent show during challenging times, bringing sModerate Depressionld Depressionles to classmates' faces! ",Happy,English
जी भरकर जीने का दिल करता है,Happy,Hindi
कुछ सवालों का जवाब सिर्फ अपने अक्स में मिलता है।,Happy,Hindi
Experimenting with a new recipe for a school bake sale. Baking adventures in the kitchen. ,Severely Depressed,English
"Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ",Happy,English
"Despair clouds the Moderate Depressionld Depressionnd, feeling adrift in an endless sea of darkness. ",Moderately Depressed,English
Marveling at the kaleidoscope of colors in a vibrant street market. ,Stressed,English
Joyful reunion with long-lost friends after years of separation.   ,Normal,English
"देखूं में तुझे या देखूं कुदरत के नज़ारे, मुश्किलों में है ये दिल मेरा!!",Moderately Depressed,Hindi
"In the heart of New York City, Times Square dazzles with lights, a vibrant spectacle of urban energy. ",Happy,English
Feeling blessed for the supportive community in times of need.    ,Stressed,English
Inspiration strikes while observing the colors of a vibrant sunset.,Stressed,English
Elation after achieving a fitness Moderate Depressionld Depressionlestone.         ,Happy,English
Hoy me siento lleno de energía y motivación.,Normal,English
जागने का मन नहीं करता।,Happy,Hindi
कल से बेहतर आज।,Moderately Depressed,Hindi
अपने आपको समय दो।,Happy,Hindi
जीवन को बेहतर बनाने के लिए बदलाव ज़रूरी है।,Happy,Hindi
Feeling inspired after attending a workshop.       ,Moderately Depressed,English
जी भरकर जीने का दिल करता है,Stressed,Hindi
Marveling at the kaleidoscope of colors in a vibrant street market. ,Normal,English
"C’est la saison des fleurs, profitons-en!",Happy,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
आसमा के परे एक जहां है कहीं झूठ सच का वाहा काएदा ही नही,Moderately Depressed,Hindi
Bonjour! Aujourd’hui est une belle journée.,Normal,English
"A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence. ",Severely Depressed,English
"Despair clouds the Moderate Depressionld Depressionnd, feeling adrift in an endless sea of darkness. ",Stressed,English
"Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",Happy,English
"Bitterness, a bitter aftertaste lingering on the tongue, each word a reModerate Depressionld Depressionnder of wounds that refuse to heal with the passing of time. ",Happy,English
